epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.428,2.08736,2.27454,1.62302,0.23668,0.42561,0.23341,0.08291,2.29108,3.10114,1.83054,0.00332258,0.00332258,0.0700968
2,313.425,2.01588,1.93718,1.54988,0.38692,0.3915,0.31746,0.12692,2.06194,2.17667,1.58685,0.00652413,0.00652413,0.039965
3,462.451,1.98406,1.84255,1.51668,0.3686,0.48966,0.37462,0.15974,2.07724,1.89102,1.58791,0.00959367,0.00959367,0.0097012
4,606.036,1.93895,1.7866,1.48389,0.37751,0.46484,0.3767,0.15979,1.98663,1.91811,1.56042,0.009406,0.009406,0.009406
5,751.339,1.90939,1.73359,1.46354,0.37547,0.53087,0.4033,0.16909,2.0348,1.8018,1.6088,0.009208,0.009208,0.009208
6,897.746,1.90468,1.71738,1.46488,0.44054,0.5271,0.43736,0.19228,1.97745,1.76378,1.56998,0.00901,0.00901,0.00901
7,1043.93,1.87861,1.65408,1.43489,0.37021,0.55132,0.4266,0.19227,1.92886,1.75899,1.50119,0.008812,0.008812,0.008812
8,1194.94,1.86509,1.66259,1.43213,0.42461,0.55156,0.44902,0.1981,1.96274,1.70092,1.50637,0.008614,0.008614,0.008614
9,1346.08,1.85875,1.63646,1.41446,0.43422,0.58518,0.48878,0.22358,1.88689,1.64818,1.48666,0.008416,0.008416,0.008416
10,1495.01,1.84305,1.61496,1.41205,0.46355,0.59921,0.49045,0.22357,1.91626,1.59625,1.49415,0.008218,0.008218,0.008218
11,1645.36,1.83335,1.59558,1.40016,0.43898,0.57275,0.47128,0.20935,1.94519,1.65631,1.51268,0.00802,0.00802,0.00802
12,1795.9,1.82753,1.58102,1.40236,0.47671,0.54079,0.47483,0.20925,1.94326,1.62575,1.51819,0.007822,0.007822,0.007822
